
PKEY                         ,TOTAL_AWR_,    CON_ID,      DBID,INSTANCE_NUMBER,HH,STAT_NAME                                                       ,      HH24_TOTAL_SECS,            AVG_VALUE,           MODE_VALUE,         MEDIAN_VALUE,               PERC50,               PERC75,               PERC90,               PERC95,              PERC100,            MIN_VALUE,            MAX_VALUE,            SUM_VALUE,                COUNT
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,LOAD                                                            ,                32448,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,NUM_CPUS                                                        ,                32448,                   32,                   32,                   32,                   32,                   32,                   32,                   32,                   32,                   32,                   32,                  288,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,SYS_TIME                                                        ,                32448,              1429942,               880834,              1424290,              1424290,              1700134,              1880865,              1940974,              2001083,               880834,              2001083,             12869474,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,BUSY_TIME                                                       ,                32448,              2924115,              1806332,              2911161,              2911161,              3480443,              3847085,              3968166,              4089248,              1806332,              4089248,             26317038,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,IDLE_TIME                                                       ,                32448,           2814688834,           1710343358,           2814790420,           2814790420,           3366864775,           3698097588,           3808512857,           3918928125,           1710343358,           3918928125,          25332199504,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,NICE_TIME                                                       ,                32448,                   48,                   32,                   48,                   48,                   56,                   61,                   62,                   64,                   32,                   64,                  432,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,USER_TIME                                                       ,                32448,               802653,               497267,               798725,               798725,               959908,              1057201,              1089884,              1122568,               497267,              1122568,              7223873,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,IOWAIT_TIME                                                     ,                32448,               159770,                95850,               161831,               161831,               191926,               208074,               213143,               218212,                95850,               218212,              1437928,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,VM_IN_BYTES                                                     ,                32448,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    9
ol79-orcl-db01_ORCLCDB_132841,    738024,         0,2832984852,              1,00,VM_OUT_BYTES                                                    ,                32448,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    9
