
PKEY                         ,    CON_ID,      DBID,INSTANCE_NUMBER,HO,METRIC_NAME                                                     ,METRIC_UNIT                                                     ,            AVG_VALUE,           MODE_VALUE,         MEDIAN_VALUE,            MIN_VALUE,            MAX_VALUE,            SUM_VALUE,               PERC50,               PERC75,               PERC90,               PERC95,              PERC100
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,00,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,01,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,02,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,03,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,04,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,05,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,06,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,07,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,08,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,09,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,10,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,11,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,12,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,13,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,14,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,15,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,16,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,17,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,18,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,19,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,20,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,21,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,22,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,23,Average Active Sessions                                         ,Active Sessions                                                 ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,00,Average Synchronous Single-Block Read Latency                   ,Milliseconds                                                    ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,01,Average Synchronous Single-Block Read Latency                   ,Milliseconds                                                    ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,02,Average Synchronous Single-Block Read Latency                   ,Milliseconds                                                    ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,03,Average Synchronous Single-Block Read Latency                   ,Milliseconds                                                    ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
ol79-orcl-db01_ORCLCDB_132841,         1,2832984852,              1,04,Average Synchronous Single-Block Read Latency                   ,Milliseconds                                                    ,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0,                    0
