
PKEY                         ,   INST_ID,    CON_ID,NAME                                                                            ,VALUE                                                       ,DEFAULT_VALUE                 ,ISDEFA
ol79-orcl-db01_ORCLCDB_132841,         1,         1,lock_name_space                                                                 ,                                                            ,                              ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,processes                                                                       ,1280                                                        ,0                             ,FALSE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,sessions                                                                        ,1952                                                        ,                              ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,timed_statistics                                                                ,TRUE                                                        ,FALSE                         ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,timed_os_statistics                                                             ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,resource_limit                                                                  ,TRUE                                                        ,TRUE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,license_max_sessions                                                            ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,license_sessions_warning                                                        ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,long_module_action                                                              ,TRUE                                                        ,TRUE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,standby_db_preserve_states                                                      ,NONE                                                        ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,instance_abort_delay_time                                                       ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,cpu_count                                                                       ,32                                                          ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,cpu_min_count                                                                   ,32                                                          ,                              ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,instance_groups                                                                 ,                                                            ,                              ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,event                                                                           ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,sga_max_size                                                                    ,7516192768                                                  ,0                             ,FALSE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,use_large_pages                                                                 ,TRUE                                                        ,TRUE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,pre_page_sga                                                                    ,TRUE                                                        ,TRUE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,shared_memory_address                                                           ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,hi_shared_memory_address                                                        ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,lock_sga                                                                        ,FALSE                                                       ,FALSE                         ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,processor_group_name                                                            ,                                                            ,                              ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,allow_group_access_to_sga                                                       ,FALSE                                                       ,FALSE                         ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,sga_min_size                                                                    ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,shared_pool_size                                                                ,0                                                           ,134217728                     ,TRUE
