
PKEY                         ,    CON_ID,OWNER                         ,SEGMENT_TYPE      ,TABLESPACE_NAME     ,FLASH_C,INMEMORY, IN_CON_ID,  IN_OWNER,IN_SEGMENT_TYPE,IN_TABLESPACE_NAME,IN_FLASH_CACHE,IN_INMEMORY,        GB
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                        ,                  ,                    ,DEFAULT,DISABLED,         0,         0,              1,                 1,             0,          0,         0
ol79-orcl-db01_ORCLCDB_132841,         1,OJVMSYS                       ,                  ,                    ,DEFAULT,DISABLED,         0,         0,              1,                 1,             0,          0,         0
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,                  ,                    ,DEFAULT,DISABLED,         0,         0,              1,                 1,             0,          0,         0
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,                  ,                    ,DEFAULT,DISABLED,         0,         0,              1,                 1,             0,          0,         0
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                        ,                  ,                    ,       ,        ,         0,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,         1,OJVMSYS                       ,                  ,                    ,       ,        ,         0,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,                  ,                    ,       ,        ,         0,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,                  ,                    ,       ,        ,         0,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,                  ,                    ,DEFAULT,        ,         1,         1,              1,                 1,             0,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,AUDSYS                        ,                  ,                    ,       ,        ,         1,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,OJVMSYS                       ,                  ,                    ,       ,        ,         1,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,DVSYS                         ,                  ,                    ,       ,        ,         1,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,GSMADMIN_INTERNAL             ,                  ,                    ,       ,        ,         1,         0,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,                  ,                    ,       ,        ,         1,         1,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,                  ,                    ,       ,DISABLED,         1,         1,              1,                 1,             1,          0,         0
ol79-orcl-db01_ORCLCDB_132841,         1,                              ,                  ,                    ,       ,        ,         0,         1,              1,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,INDEX             ,                    ,       ,        ,         1,         1,              0,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,TABLE PARTITION   ,                    ,       ,        ,         1,         1,              0,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,LOBINDEX          ,                    ,       ,        ,         1,         1,              0,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,LOBSEGMENT        ,                    ,       ,        ,         1,         1,              0,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,INDEX PARTITION   ,                    ,       ,        ,         1,         1,              0,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,TABLE             ,                    ,       ,        ,         1,         1,              0,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,LOB PARTITION     ,                    ,       ,        ,         1,         1,              0,                 1,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,                  ,SYSTEM              ,       ,        ,         1,         1,              1,                 0,             1,          1,         0
ol79-orcl-db01_ORCLCDB_132841,          ,                              ,                  ,SYSAUX              ,       ,        ,         1,         1,              1,                 0,             1,          1,         0
