
PKEY                         ,HH,COMMAND_TYPE,                 COUN,AVG_BUFFER_GETS,AVG_ELASPED_TIME,AVG_ROWS_PROCESSED,AVG_EXECUTIONS,AVG_CPU_TIME,AVG_IOWAIT,AVG_CLWAIT,AVG_APWAIT,AVG_CCWAIT,AVG_PLSEXEC_TIME
ol79-orcl-db01_ORCLCDB_132841,03,         189,                   18,     431.055556,      163959.778,        71.6111111,    73.6111111,  162840.944,26.5555556,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,03,          47,                   20,         1417.7,        162217.2,              2.35,          2.35,    161492.4,      3.95,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,04,           3,                  434,     1214.57834,      11581.1429,        188.546083,    76.4976959,  9981.07604,.610599078,         0,         0, .19124424,               0
ol79-orcl-db01_ORCLCDB_132841,05,         189,                   19,     3127.47368,      294272.895,        84.5263158,    69.7894737,  292244.158,39.7368421,         0,         0,171.315789,               0
ol79-orcl-db01_ORCLCDB_132841,07,           6,                   57,     165.210526,      4024.26316,        25.7368421,    17.1403509,  2715.45614,         0,         0,         0,1309.22807,               0
ol79-orcl-db01_ORCLCDB_132841,09,           2,                  112,     710.401786,      41465.7946,        309.232143,    11.2589286,  41263.4821,2.83928571,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,09,           7,                    5,          293.6,         10892.8,               5.6,             1,     10789.6,        13,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,10,           3,                  447,     1650.01342,      19617.3423,        477.277405,    229.621924,  18048.5101,.040268456,         0,         0,26.1722595,               0
ol79-orcl-db01_ORCLCDB_132841,12,         189,                   18,     426.111111,      165267.778,        70.5555556,    72.5555556,  163964.056,13.4444444,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,14,           3,                  387,      2598.5323,      29937.9302,        550.565891,    213.276486,  28436.9664,         0,         0,         0,4.77260982,               0
ol79-orcl-db01_ORCLCDB_132841,15,           2,                  112,     797.732143,      38922.0357,        421.455357,    10.1964286,  38711.9196,.883928571,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,13,          47,                   16,      1323.9375,      176205.125,               2.5,           2.5,  175201.438,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,16,           3,                  352,     1058.67045,      11512.4063,        188.042614,    82.1477273,  9872.75852,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,16,         189,                   16,       417.1875,      167042.875,           69.3125,       71.3125,  165824.375,     4.125,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,15,         189,                   16,       433.8125,       165337.75,           70.6875,       72.6875,   164033.25,   28.3125,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,17,           3,                  361,     1029.63989,      11210.5596,        181.620499,    80.0720222,  9489.27978,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,18,           6,                   51,     470.784314,      9972.23529,        86.3921569,    79.4705882,        6145,5.98039216,         0,         0,3596.43137,               0
ol79-orcl-db01_ORCLCDB_132841,19,         189,                   16,       433.5625,      166461.375,           70.1875,       72.1875,  165038.625,   18.5625,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,20,           2,                   94,     684.457447,       44472.234,        341.989362,    11.8404255,  44262.0957,.468085106,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,20,         189,                   16,       469.8125,      161932.938,             77.75,       79.6875,  160887.625,   14.1875,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,21,         189,                   11,     519.636364,      153600.545,        85.9090909,    87.7272727,  152536.909,68.3636364,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,15,           7,                    3,     51.6666667,             467,        4.33333333,    4.33333333,  219.333333,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,05,         170,                    3,     715629.333,      16570368.3,                 0,    .666666667,  16414645.7,67469.6667,         0,1137.66667,1558.33333,               0
ol79-orcl-db01_ORCLCDB_132841,01,           7,                   19,     80.2105263,            1835,        .052631579,    13.3157895,  1794.63158,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,01,          47,                   27,     1183.25926,      138040.111,                 2,             2,  136297.667,43.8148148,         0,         0,424.296296,               0
ol79-orcl-db01_ORCLCDB_132841,00,           6,                   56,     788.267857,      15239.0357,        197.107143,       219.625,  11545.3036,14.7857143,         0,         0,3726.96429,               0
ol79-orcl-db01_ORCLCDB_132841,01,           6,                   38,     315.552632,      7572.36842,        81.7368421,    78.0526316,  5352.23684,1.97368421,         0,         0,2132.97368,               0
ol79-orcl-db01_ORCLCDB_132841,03,           2,                  129,     723.906977,      37028.8992,        392.682171,    9.99224806,  36678.1163,.589147287,         0,         0,.697674419,               0
ol79-orcl-db01_ORCLCDB_132841,04,          47,                   20,        1378.05,       161528.25,              2.35,          2.35,    160643.6,     54.35,         0,         0,       106,               0
ol79-orcl-db01_ORCLCDB_132841,04,         189,                   18,     418.944444,        164809.5,        69.3888889,    71.3888889,  163478.056,40.2777778,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,05,           3,                  465,      4829.2129,      72103.6301,        969.023656,    832.554839,  70668.4065,      68.2,         0,         0,1.12258065,               0
ol79-orcl-db01_ORCLCDB_132841,08,           2,                  104,     766.846154,      43160.9135,        317.586538,    12.0192308,  42773.2019,3.99038462,         0,         0,.115384615,               0
ol79-orcl-db01_ORCLCDB_132841,12,          47,                   19,     1289.42105,      168660.947,        2.47368421,    2.47368421,  167890.158,6.73684211,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,14,           6,                   44,     475.295455,      8170.54545,        94.2272727,    90.9545455,  6151.45455,5.27272727,         0,         0,2250.11364,               0
ol79-orcl-db01_ORCLCDB_132841,13,           3,                  366,      1014.8224,       10921.571,        179.918033,    78.7021858,  9371.32787,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,13,         189,                   16,       425.3125,      165491.563,           70.0625,       72.0625,   164167.75,   36.0625,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,18,          47,                   13,     1053.07692,      212114.077,        2.84615385,    2.84615385,  211378.462,2.76923077,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,18,         189,                   20,           4741,        170697.2,             68.05,          62.1,    170009.9,      22.8,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,19,           6,                   55,     162.254545,      6525.83636,        22.1090909,    13.0363636,  2976.21818,         0,         0,         0,3500.72727,               0
ol79-orcl-db01_ORCLCDB_132841,19,           3,                  356,     1051.30899,      11353.1573,        187.921348,    81.8089888,  9601.54775,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,10,         170,                    3,     413895.333,      8001922.67,                 0,             1,     7940145,     10908,         0,      1016,      1123,               0
ol79-orcl-db01_ORCLCDB_132841,06,         170,                    1,        1369702,        20625995,                 0,             1,    20457516,     61816,         0,      1601,       142,               0
ol79-orcl-db01_ORCLCDB_132841,01,           3,                  521,     862.533589,      13962.0806,        146.671785,    71.4932821,  12590.4088,.796545106,         0,         0,26.4932821,               0
ol79-orcl-db01_ORCLCDB_132841,00,           2,                  118,     813.110169,      38364.4576,        272.338983,    27.5338983,  38241.7119,34.3474576,         0,         0,.457627119,               0
ol79-orcl-db01_ORCLCDB_132841,05,          47,                   17,     10568.6471,      224636.588,        2.41176471,    2.41176471,  222666.235,951.235294,         0,         0,68.4117647,               0
ol79-orcl-db01_ORCLCDB_132841,06,           2,                  121,     3920.16529,      56217.9504,        1039.94215,    76.8512397,  55441.9752,2.71900826,         0,         0,1.42975207,               0
ol79-orcl-db01_ORCLCDB_132841,08,           3,                  497,     1340.22133,      24617.4306,        227.780684,    181.778672,  23237.6076,10.3863179,         0,         0,.261569416,               0
ol79-orcl-db01_ORCLCDB_132841,08,         189,                   18,     487.611111,      165822.667,        75.5555556,    77.5555556,  165022.056,33.9444444,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,08,         170,                    9,            395,          202990,                 0,             1,  201371.444,         0,         0,         0,109.444444,               0
ol79-orcl-db01_ORCLCDB_132841,15,           6,                   52,     160.115385,      10123.0962,        23.9807692,    15.8269231,  3340.11538,1.38461538,         0,         0,6865.78846,               0
ol79-orcl-db01_ORCLCDB_132841,13,           2,                  116,     819.422414,      37377.0776,        413.706897,    9.88793103,  36874.1121,1.03448276,         0,         0,.844827586,               0
ol79-orcl-db01_ORCLCDB_132841,14,          47,                   24,     1847.08333,      116564.833,                 2,             2,  115820.875,     5.625,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,18,           3,                  404,     2821.26733,      54545.0396,        505.257426,    186.212871,  52847.2426,76.0148515,         0,         0,.195544554,               0
ol79-orcl-db01_ORCLCDB_132841,21,           7,                   27,     33847.7778,      336029.815,         7782.7037,    756.666667,  332060.778,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,13,           7,                    3,     64.6666667,      485.333333,        5.33333333,    5.33333333,  310.333333,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,18,         170,                    4,         378586,         5044776,                 0,             1,   4997123.5,   11461.5,         0,   1777.75,  10093.75,               0
ol79-orcl-db01_ORCLCDB_132841,03,           7,                    1,              7,             165,                 1,             1,         165,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,00,           7,                   86,     4832.98837,      24766.7791,        1174.05814,     72.255814,   24254.314,.441860465,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,02,         189,                   18,     495.222222,      167770.444,        77.8333333,    79.8333333,    166729.5,28.6111111,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,02,           7,                   39,     2077.15385,      34950.5897,        .025641026,    1.51282051,  34642.1538,         0,         0,         0,3.41025641,               0
ol79-orcl-db01_ORCLCDB_132841,03,           3,                  450,     958.775556,      10201.8311,        161.524444,    73.6222222,     8676.78,         0,         0,         0,2.39111111,               0
ol79-orcl-db01_ORCLCDB_132841,08,           6,                   51,     192.294118,      5196.64706,        44.4509804,    40.2941176,  3763.05882,5.41176471,         0,         0,1483.23529,               0
ol79-orcl-db01_ORCLCDB_132841,09,           3,                  547,     836.239488,      11988.2066,        132.819013,    69.1023766,  10633.3291,         0,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,10,           6,                   57,     677.087719,      17194.2456,        142.912281,    136.175439,  8436.26316,4.54385965,         0,         0,8901.59649,               0
ol79-orcl-db01_ORCLCDB_132841,11,           6,                   59,     187.338983,            8248,        25.8813559,    16.2033898,  3530.84746,2.13559322,         0,         0,4438.55932,               0
ol79-orcl-db01_ORCLCDB_132841,14,           2,                  101,     3877.17822,      63907.5149,        1015.46535,    75.3564356,  63288.2673,5.58415842,         0,         0, .98019802,               0
ol79-orcl-db01_ORCLCDB_132841,15,           3,                  368,     1005.64674,      11681.4429,        180.081522,     80.048913,  10145.4484,.067934783,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,20,          47,                   34,     2070.73529,      92873.1765,        1.67647059,    1.67647059,  92456.8824,5.29411765,         0,         0,5.85294118,               0
ol79-orcl-db01_ORCLCDB_132841,21,           2,                   83,     31015.6265,      202197.952,        5890.26506,    662.108434,  200176.819,22.3493976,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,22,           3,                  578,     8598.96021,      215575.061,        1817.69896,    2023.07093,  214328.194,18.0294118,         0,         0,86.4844291,               0
ol79-orcl-db01_ORCLCDB_132841,22,           7,                   16,        8707.25,      86208.9375,            1890.5,      188.5625,   85200.875,    1.6875,         0,         0,         0,               0
ol79-orcl-db01_ORCLCDB_132841,22,         189,                   21,     2976.52381,      263726.714,         72.952381,    71.7619048,  261818.905,22.1904762,         0,         0, 79.047619,               0
ol79-orcl-db01_ORCLCDB_132841,11,           7,                    3,     59.6666667,      532.333333,                 5,             5,  355.666667,         0,         0,         0,         0,               0
