
PKEY                         ,SNAME                         ,PNAME                         ,     PVAL1,PVAL2
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_INFO                 ,STATUS                        ,          ,COMPLETED
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_INFO                 ,DSTART                        ,          ,03-12-2021 14:42
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_INFO                 ,DSTOP                         ,          ,03-12-2021 14:42
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_INFO                 ,FLAGS                         ,         1,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,CPUSPEEDNW                    ,      3780,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,IOSEEKTIM                     ,        13,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,IOTFRSPEED                    ,     12658,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,SREADTIM                      ,          ,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,MREADTIM                      ,          ,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,CPUSPEED                      ,          ,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,MBRC                          ,          ,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,MAXTHR                        ,          ,
ol79-orcl-db01_ORCLCDB_132841,SYSSTATS_MAIN                 ,SLAVETHR                      ,          ,
